Week,Whisky,White wine,Craft Beer
8/30/2020,40,22,7
9/6/2020,42,24,6
9/13/2020,50,20,6
9/20/2020,53,21,5
9/27/2020,41,20,6
10/4/2020,43,22,6
10/11/2020,46,28,5
10/18/2020,47,23,5
10/25/2020,50,22,5
11/1/2020,43,19,6
11/8/2020,53,22,6
11/15/2020,55,22,7
11/22/2020,58,23,6
11/29/2020,65,23,6
12/6/2020,65,26,6
12/13/2020,74,33,6
12/20/2020,98,52,5
12/27/2020,72,37,4
1/3/2021,47,22,3
1/10/2021,49,22,4
1/17/2021,49,22,4
1/24/2021,53,23,4
1/31/2021,48,23,4
2/7/2021,48,24,5
2/14/2021,49,25,4
2/21/2021,47,21,5
2/28/2021,46,20,6
3/7/2021,47,21,5
3/14/2021,51,21,5
3/21/2021,44,22,6
3/28/2021,45,24,6
4/4/2021,38,20,5
4/11/2021,37,19,5
4/18/2021,39,18,4
4/25/2021,39,19,5
5/2/2021,38,19,5
5/9/2021,38,20,4
5/16/2021,37,19,5
5/23/2021,40,20,5
5/30/2021,39,20,7
6/6/2021,40,19,8
6/13/2021,43,19,8
6/20/2021,44,21,9
6/27/2021,41,23,9
7/4/2021,41,22,8
7/11/2021,41,22,9
7/18/2021,42,25,9
7/25/2021,42,25,10
8/1/2021,42,28,9
8/8/2021,42,25,9
8/15/2021,42,24,8
8/22/2021,41,24,8
8/29/2021,40,23,7
9/5/2021,43,24,7
9/12/2021,42,22,6
9/19/2021,41,21,8
9/26/2021,42,20,7
10/3/2021,48,24,6
10/10/2021,50,26,7
10/17/2021,46,22,8
10/24/2021,46,22,6
10/31/2021,45,22,7
11/7/2021,61,22,7
11/14/2021,55,20,8
11/21/2021,58,22,7
11/28/2021,61,23,7
12/5/2021,63,26,8
12/12/2021,72,31,6
12/19/2021,91,39,6
12/26/2021,71,31,5
1/2/2022,53,19,4
1/9/2022,50,22,4
1/16/2022,44,21,4
1/23/2022,49,20,4
1/30/2022,47,20,5
2/6/2022,48,22,6
2/13/2022,47,24,6
2/20/2022,48,23,6
2/27/2022,46,21,7
3/6/2022,47,20,7
3/13/2022,52,20,7
3/20/2022,46,21,7
3/27/2022,43,21,6
4/3/2022,42,18,7
4/10/2022,48,23,8
4/17/2022,46,21,7
4/24/2022,45,20,7
5/1/2022,45,21,8
5/8/2022,40,20,8
5/15/2022,42,20,8
5/22/2022,44,20,9
5/29/2022,40,22,9
6/5/2022,43,21,11
6/12/2022,51,22,10
6/19/2022,50,23,11
6/26/2022,46,25,9
7/3/2022,45,22,10
7/10/2022,44,23,10
7/17/2022,46,25,8
7/24/2022,46,25,8
7/31/2022,46,26,8
8/7/2022,46,23,9
8/14/2022,42,23,8
8/21/2022,47,23,7
8/28/2022,42,22,8
9/4/2022,44,22,7
9/11/2022,42,22,8
9/18/2022,45,20,7
9/25/2022,44,20,7
10/2/2022,45,24,7
10/9/2022,49,23,7
10/16/2022,44,20,7
10/23/2022,45,21,6
10/30/2022,44,20,6
11/6/2022,50,21,6
11/13/2022,53,21,7
11/20/2022,54,21,7
11/27/2022,59,20,7
12/4/2022,60,24,6
12/11/2022,65,29,7
